date,entry_time,direction,entry_price,stop_loss,time_bucket,vix_level,vix_direction,exit_time,exit_price,pnl_points
2021-06-10,2021-06-10 11:01:00,BULLISH,15718.35,15698.35,11:00,MEDIUM,RISING,2021-06-10 11:01:00,15716.1,-2.25
2021-06-14,2021-06-14 13:23:00,BULLISH,15765.95,15745.95,13:00,MEDIUM,RISING,2021-06-14 13:23:00,15781.45,15.5
2021-06-16,2021-06-16 13:09:00,BEARISH,15774.9,15794.9,13:00,MEDIUM,RISING,2021-06-16 13:09:00,15777.8,-2.899999999999636
2021-07-12,2021-07-12 11:01:00,BULLISH,15784.2,15764.2,11:00,MEDIUM,RISING,2021-07-12 11:01:00,15781.7,-2.5
2021-07-20,2021-07-20 12:06:00,BEARISH,15585.45,15605.45,12:00,MEDIUM,RISING,2021-07-20 12:06:00,15581.3,4.150000000001455
2021-07-28,2021-07-28 13:20:00,BULLISH,15674.15,15654.15,13:00,MEDIUM,RISING,2021-07-28 13:20:00,15674.85,0.7000000000007276
2021-08-16,2021-08-16 11:05:00,BULLISH,16547.1,16527.1,11:00,MEDIUM,RISING,2021-08-16 11:05:00,16557.85,10.75
2021-08-25,2021-08-25 11:24:00,BULLISH,16691.6,16671.6,11:00,MEDIUM,RISING,2021-08-25 11:25:00,16696.95,5.350000000002183
2021-09-06,2021-09-06 13:21:00,BEARISH,17372.3,17392.3,13:00,MEDIUM,RISING,2021-09-06 13:21:00,17371.0,1.2999999999992724
2021-09-16,2021-09-16 12:09:00,BULLISH,17575.35,17555.35,12:00,MEDIUM,RISING,2021-09-16 12:09:00,17576.15,0.8000000000029104
2021-09-20,2021-09-20 11:08:00,BULLISH,17604.85,17584.85,11:00,MEDIUM,RISING,2021-09-20 11:08:00,17602.6,-2.25
2021-09-24,2021-09-24 13:21:00,BULLISH,17860.25,17840.25,13:00,MEDIUM,RISING,2021-09-24 13:21:00,17853.6,-6.650000000001455
2021-09-28,2021-09-28 12:20:00,BEARISH,17707.45,17727.45,12:00,MEDIUM,RISING,2021-09-28 12:20:00,17709.15,-1.7000000000007276
2021-10-18,2021-10-18 11:13:00,BEARISH,18495.1,18515.1,11:00,MEDIUM,RISING,2021-10-18 11:13:00,18498.3,-3.2000000000007276
2021-10-19,2021-10-19 11:25:00,BULLISH,18565.5,18545.5,11:00,MEDIUM,RISING,2021-10-19 11:25:00,18573.15,7.650000000001455
2021-10-28,2021-10-28 12:28:00,BEARISH,17991.1,18011.1,12:00,MEDIUM,RISING,2021-10-28 12:28:00,17991.6,-0.5
2021-11-15,2021-11-15 11:28:00,BEARISH,18119.1,18139.1,11:00,MEDIUM,RISING,2021-11-15 11:28:00,18114.9,4.19999999999709
2021-11-22,2021-11-22 12:10:00,BEARISH,17432.95,17452.95,12:00,MEDIUM,RISING,2021-11-22 12:10:00,17464.4,-31.450000000000728
2021-11-23,2021-11-23 11:29:00,BULLISH,17414.4,17394.4,11:00,MEDIUM,RISING,2021-11-23 12:00:00,17454.85,40.44999999999709
2021-12-03,2021-12-03 13:14:00,BEARISH,17284.55,17304.55,13:00,MEDIUM,RISING,2021-12-03 13:14:00,17289.55,-5.0
2021-12-13,2021-12-13 11:13:00,BEARISH,17570.9,17590.9,11:00,MEDIUM,RISING,2021-12-13 11:13:00,17574.6,-3.6999999999970896
2021-12-15,2021-12-15 12:02:00,BEARISH,17239.85,17259.85,12:00,MEDIUM,RISING,2021-12-15 12:02:00,17241.85,-2.0
2021-12-17,2021-12-17 11:24:00,BEARISH,17034.5,17054.5,11:00,MEDIUM,RISING,2021-12-17 11:24:00,17044.25,-9.75
2021-12-24,2021-12-24 13:04:00,BULLISH,16965.65,16945.65,13:00,MEDIUM,RISING,2021-12-24 13:04:00,16965.95,0.2999999999992724
2022-01-03,2022-01-03 12:01:00,BULLISH,17529.2,17509.2,12:00,MEDIUM,RISING,2022-01-03 12:01:00,17526.8,-2.400000000001455
2022-01-05,2022-01-05 12:21:00,BULLISH,17874.85,17854.85,12:00,MEDIUM,RISING,2022-01-05 12:21:00,17872.7,-2.149999999997817
2022-01-06,2022-01-06 12:06:00,BEARISH,17667.15,17687.15,12:00,MEDIUM,RISING,2022-01-06 12:06:00,17680.0,-12.849999999998545
2022-01-18,2022-01-18 11:28:00,BULLISH,18248.85,18228.85,11:00,MEDIUM,RISING,2022-01-18 11:28:00,18250.8,1.9500000000007276
2022-01-21,2022-01-21 13:11:00,BULLISH,17693.0,17673.0,13:00,MEDIUM,RISING,2022-01-21 13:11:00,17697.25,4.25
2022-02-03,2022-02-03 11:16:00,BEARISH,17699.9,17719.9,11:00,MEDIUM,RISING,2022-02-03 11:16:00,17695.35,4.55000000000291
2022-02-11,2022-02-11 13:14:00,BULLISH,17404.15,17384.15,13:00,MEDIUM,RISING,2022-02-11 13:14:00,17407.85,3.6999999999970896
2022-04-06,2022-04-06 13:25:00,BEARISH,17815.35,17835.35,13:00,MEDIUM,RISING,2022-04-06 13:25:00,17810.6,4.75
2022-04-11,2022-04-11 12:01:00,BULLISH,17723.2,17703.2,12:00,MEDIUM,RISING,2022-04-11 12:01:00,17726.6,3.399999999997817
2022-04-18,2022-04-18 12:01:00,BEARISH,17146.1,17166.1,12:00,MEDIUM,RISING,2022-04-18 12:01:00,17149.65,-3.5500000000029104
2022-04-22,2022-04-22 11:21:00,BULLISH,17310.2,17290.2,11:00,MEDIUM,RISING,2022-04-22 11:22:00,17306.45,-3.75
2022-06-10,2022-06-10 11:30:00,BEARISH,16247.7,16267.7,11:00,MEDIUM,RISING,2022-06-10 12:00:00,16249.55,-1.8499999999985448
2022-07-26,2022-07-26 11:04:00,BULLISH,16520.85,16500.85,11:00,MEDIUM,RISING,2022-07-26 11:05:00,16518.7,-2.149999999997817
2022-08-01,2022-08-01 13:28:00,BULLISH,17294.75,17274.75,13:00,MEDIUM,RISING,2022-08-01 13:28:00,17294.2,-0.5499999999992724
2022-08-04,2022-08-04 11:15:00,BEARISH,17396.2,17416.2,11:00,MEDIUM,RISING,2022-08-04 11:17:00,17360.55,35.650000000001455
2022-08-08,2022-08-08 11:06:00,BULLISH,17468.5,17448.5,11:00,MEDIUM,RISING,2022-08-08 11:06:00,17468.0,-0.5
