year,trades,total_pnl_rs,peak_premium_rs,return_on_cap_pct,max_dd_rs
2021,26,662.12,8603.0,7.7,-824.37
2022,35,872.14,9018.5,9.7,-402.67
2023,33,-747.15,7804.5,-9.6,-1128.29
2024,44,3384.21,11250.0,30.1,-1037.86
2025,32,916.82,11817.0,7.8,-1208.04
2026,2,-491.06,8280.0,-5.9,0.0
