year,trades,win_rate_pct,total_pnl,expectancy
2021,26,42.3,662.12,25.47
2022,35,54.3,872.14,24.92
2023,33,39.4,-747.15,-22.64
2024,44,52.3,3384.21,76.91
2025,32,56.2,916.82,28.65
2026,2,50.0,-491.06,-245.53
