year,trades,win_pct,total_pnl,expectancy
2021,24,45.8,696.2,29.01
2022,35,54.3,872.14,24.92
2023,14,35.7,-528.37,-37.74
2024,39,53.8,3822.5,98.01
2025,21,47.6,491.57,23.41
2026,2,50.0,-491.06,-245.53
